sn,host,z,yeps_age,yeps_age.err-,yeps_age.err+,yeps_cur_feh,yeps_cur_feh.err-,yeps_cur_feh.err+,yeps_cur_afe,yeps_cur_afe.err-,yeps_cur_afe.err+,yeps_birth_feh,yeps_birth_feh.err-,yeps_birth_feh.err+,yeps_birth_afe,yeps_birth_afe.err-,yeps_birth_afe.err+,tmj11_age,tmj11_age.err-,tmj11_age.err+,tmj11_cur_feh,tmj11_cur_feh.err-,tmj11_cur_feh.err+,tmj11_cur_afe,tmj11_cur_afe.err-,tmj11_cur_afe.err+,tmj11_birth_feh,tmj11_birth_feh.err-,tmj11_birth_feh.err+,tmj11_birth_afe,tmj11_birth_afe.err-,tmj11_birth_afe.err+,s07_age,s07_age.err-,s07_age.err+,s07_cur_feh,s07_cur_feh.err-,s07_cur_feh.err+,s07_cur_afe,s07_cur_afe.err-,s07_cur_afe.err+,s07_birth_feh,s07_birth_feh.err-,s07_birth_feh.err+,s07_birth_afe,s07_birth_afe.err-,s07_birth_afe.err+,s2_x1,s2_x1.err,s2_c,s2_c.err,s2_hr,s2_hr.err
SN2007jh,CGCG391-014,0.040796,4.409,0.416,0.374,0.193,0.069,0.066,0.211,0.022,0.019,0.10482,0.081263,0.078313,0.12282,0.0342629999999999,0.0313129999999999,6.025,1.016,0.793,0.0318,0.06,0.0619,0.313,0.033,0.013,-0.0887,0.082678,0.087229,0.1925,0.055678,0.038329,7.166,0.641,0.595,0.029,0.038,0.038,0.225,0.022,0.019,-0.11432,0.057661,0.057345,0.08168,0.041661,0.0383449999999999,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
SN2007nq,UGC00595,0.045031,5.696,1.674,1.1,0.237,0.142,0.141,0.257,0.035,0.023,0.12308,0.170796,0.178502,0.14308,0.063796,0.060502,10.903,2.539,2.69,-0.0326,0.1371,0.1409,0.324,0.059,0.04,-0.25066,0.204493,0.200044,0.10594,0.126393,0.0991439999999999,10.599,1.855,1.86,0.022,0.09,0.113,0.291,0.035,0.026,-0.18998,0.139659,0.158844,0.0790199999999999,0.0846589999999999,0.071844,-1.917,0.051,-0.028,0.02,-0.153,0.092
SN2008C,UGC03611,0.016621,0.099,0.0,0.0,0.28,0.02,0.01,0.422,0.012,0.014,0.27802,0.020099,0.0100989999999999,0.42002,0.012099,0.0140989999999999,0.641,0.053,0.039,0.5511,0.0179,0.0196,0.468,0.027,0.011,0.53828,0.0193599999999999,0.021248,0.45518,0.02846,0.0126479999999999,1.099,0.0,0.0,-0.22,0.17,0.1,0.387,0.02,0.02,-0.24198,0.171099,0.101099,0.36502,0.021099,0.021099,-0.719,0.046,0.126,0.019,-0.221,0.147
SN2008L,NGC1259,0.0194,3.225,0.356,0.315,0.154,0.08,0.085,0.328,0.022,0.022,0.0895,0.08984,0.0949889999999999,0.2635,0.03184,0.0319889999999999,3.303,0.615,0.492,0.0189,0.0731,0.0703,0.415,0.038,0.019,-0.0471599999999999,0.0867349999999999,0.085288,0.34894,0.0516349999999999,0.033988,4.153,0.713,0.515,0.006,0.036,0.069,0.346,0.025,0.022,-0.0770599999999999,0.0509679999999999,0.0867,0.2629399999999999,0.039968,0.0397,-1.592,0.1,-0.151,0.032,-0.097,0.125
SN2008R,NGC1200,0.013503,4.9,0.38,0.27,0.438,0.056,0.042,0.246,0.02,0.016,0.3399999999999999,0.0665699999999999,0.05412,0.148,0.0305699999999999,0.02812,9.394,1.272,1.183,0.1412,0.0455,0.0473,0.303,0.027,0.01,-0.04668,0.0797369999999999,0.080862,0.1151199999999999,0.061237,0.043562,10.033,0.766,0.782,0.128,0.034,0.033,0.239,0.019,0.017,-0.07266,0.060455,0.057587,0.0383399999999999,0.0454549999999999,0.041587,-2.17,0.048,0.047,0.02,0.08,0.185
SN2008af,UGC09640,0.033507,3.884,0.372,0.28,0.47,0.073,0.082,0.211,0.024,0.02,0.39232,0.082764,0.0929519999999999,0.13332,0.0337639999999999,0.0309519999999999,4.928,1.373,1.124,0.2199,0.0694,0.0713,0.298,0.036,0.016,0.12134,0.097932,0.102315,0.19944,0.064532,0.047015,6.876,0.85,0.649,0.165,0.044,0.049,0.198,0.025,0.021,0.02748,0.064505,0.072026,0.06048,0.045505,0.0440259999999999,-1.425,0.13,-0.031,0.032,-0.061,0.133
SN2008gl,UGC00881,0.034017,3.106,0.464,0.334,0.391,0.115,0.094,0.293,0.025,0.025,0.32888,0.1251199999999999,0.1059219999999999,0.2308799999999999,0.03512,0.036922,3.137,0.781,0.426,0.1919,0.1027,0.0962,0.381,0.046,0.026,0.12916,0.114783,0.1141759999999999,0.31826,0.0580829999999999,0.043976,4.626,0.896,0.929,0.137,0.07,0.066,0.283,0.029,0.025,0.04448,0.094135,0.08765,0.1904799999999999,0.053135,0.04665,-1.408,0.098,-0.04,0.028,-0.017,0.109
SN2008hv,NGC2765,0.012549,4.62,0.277,0.259,0.202,0.041,0.04,0.092,0.017,0.015,0.1096,0.051059,0.049883,-0.0004,0.027059,0.024883,6.067,0.681,0.439,0.0826,0.0396,0.0369,0.21,0.025,0.01,-0.03874,0.054886,0.055906,0.0886599999999999,0.040286,0.029006,7.256,0.46,0.417,0.046,0.023,0.023,0.105,0.017,0.016,-0.09912,0.039013,0.038996,-0.04012,0.033013,0.031996,-1.22,0.03,-0.068,0.019,0.011,0.177
SN2008ia,ESO125-G006,0.021942,4.546,0.156,0.148,0.172,0.023,0.023,0.123,0.014,0.013,0.0810799999999999,0.030654,0.0305099999999999,0.03208,0.021654,0.02051,5.878,0.299,0.23,0.0525,0.025,0.0242,0.241,0.019,0.01,-0.06506,0.035708,0.035759,0.12344,0.029708,0.0215589999999999,7.052,0.247,0.223,0.029,0.013,0.013,0.141,0.015,0.014,-0.11204,0.0247349999999999,0.024745,-4.000000000001225e-05,0.0267349999999999,0.025745,-1.312,0.044,-0.039,0.019,-0.118,0.121
SN2009F,NGC1725,0.012956,4.004,0.18,0.16,0.54,0.045,0.051,0.31,0.018,0.015,0.45992,0.052364,0.058424,0.22992,0.025364,0.022424,5.799,1.002,0.937,0.1954,0.0459,0.0449,0.373,0.025,0.009,0.0794199999999999,0.071376,0.069737,0.2570199999999999,0.050476,0.033837,7.692,0.532,0.56,0.178,0.033,0.028,0.305,0.018,0.016,0.0241599999999999,0.052452,0.0458,0.15116,0.037452,0.0338,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
SN2010Y,NGC3392,0.01086,3.649,0.359,0.34,0.13,0.074,0.083,0.338,0.022,0.021,0.05702,0.0847889999999999,0.09347,0.26502,0.032789,0.03147,4.145,0.801,0.654,-0.014,0.0637,0.074,0.416,0.035,0.016,-0.0968999999999999,0.081579,0.093364,0.3331,0.052879,0.035364,5.237,0.612,0.543,-0.021,0.054,0.059,0.363,0.024,0.022,-0.12574,0.07064,0.0758649999999999,0.25826,0.04064,0.038865,-2.503,0.084,-0.07,0.031,0.487,0.122
